downloaded_at_utc,source_page,source_url,local_path,raw_label,mapped_label,genus_id,gigapan_image_id
2026-03-21T19:56:24.130101+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195977/images.57ee7d61ecbaf9a22964ec8abb6be5b3/195977-427x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g252__img195977__v1.jpg,Unknown,,252,195977
2026-03-21T19:56:24.213241+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/196219/images.1dc12aac84d30db48ad3aa9cd7d37271/196219-808x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g252__img196219__v2.jpg,Unknown,,252,196219
2026-03-21T19:56:25.960960+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209264/images.6df11b6f7a8cb49f8782488fec16a763/209264-778x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g537__img209264__v1.jpg,Unknown,,537,209264
2026-03-21T19:56:27.803813+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191586/images.af6edbf1751127780b95ab865a80d75c/191586-312x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g329__img191586__v1.jpg,Caddisfly Larva (Net Spinning),caddisfly,329,191586
2026-03-21T19:56:27.868223+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191587/images.68637a75cd992271233317b0bd7d4901/191587-386x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g329__img191587__v2.jpg,Caddisfly Larva (Net Spinning),caddisfly,329,191587
2026-03-21T19:56:29.628871+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/198542/images.ec3fa3c356c7b57baad3a5f2e918faad/198542-348x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g118__img198542__v1.jpg,Unknown,,118,198542
2026-03-21T19:56:31.521424+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209277/images.55abdf12126cfd9f3d18c69a21fd6c48/209277-449x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g229__img209277__v1.jpg,Mayfly Nymph,mayfly,229,209277
2026-03-21T19:56:33.483284+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/196753/images.84cbeebaa0323d1d06257aefc1c5febc/196753-811x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g758__img196753__v1.jpg,Unknown,,758,196753
2026-03-21T19:56:33.548250+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/196754/images.781ba768863be41a340fb215d8295f64/196754-776x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g758__img196754__v2.jpg,Unknown,,758,196754
2026-03-21T19:56:35.474835+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197344/images.ed6c02a4bf2869050417342b22ca6322/197344-513x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g220__img197344__v1.jpg,Mayfly Nymph,mayfly,220,197344
2026-03-21T19:56:35.550689+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197345/images.cdb85efea1104948ee800a8029db846e/197345-610x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g220__img197345__v2.jpg,Mayfly Nymph,mayfly,220,197345
2026-03-21T19:56:37.292342+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/188452/images.fa66f12e93e4e12584456d2ce65ffca4/188452-686x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g32__img188452__v1.jpg,Mayfly Nymph,mayfly,32,188452
2026-03-21T19:56:37.369225+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/190174/images.bcf4fcd8baf4eb008d3db236daf174bc/190174-640x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g32__img190174__v2.jpg,Mayfly Nymph,mayfly,32,190174
2026-03-21T19:56:37.444698+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/188453/images.fcad35bf548fa15f9a20aa6a5039dbda/188453-742x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g32__img188453__v3.jpg,Mayfly Nymph,mayfly,32,188453
2026-03-21T19:56:39.204957+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195727/images.57029c925b889ba643ca8a19d50c17f3/195727-509x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g319__img195727__v1.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,319,195727
2026-03-21T19:56:39.272092+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195728/images.8690758ba6e703ec8e5fdb2d8995550b/195728-494x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g319__img195728__v2.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,319,195728
2026-03-21T19:56:39.339927+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195731/images.a774f76335d55991aabad504c0b6f8bc/195731-474x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g319__img195731__v3.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,319,195731
